customer_id,name,country,signup_date,risk_rating
CUST001,Amina Rahman,England,2023-01-30,Medium
CUST002,Di Liu,Bangladesh,2021-05-23,High
CUST003,Amina Rahman,India,2021-03-31,High
CUST004,Julio Romero,England,2021-01-31,Standard
CUST005,Di Liu,Bangladesh,2022-06-02,High
CUST006,Roslan Taef,India,2021-07-23,High
CUST007,Robert Hernandez,USA,2021-08-14,Medium
CUST008,Sophie Roberts,Canada,2023-04-09,Standard
CUST009,Kris Potter,USA,2021-12-15,Medium
CUST010,Kris Potter,Bangladesh,2023-09-08,Medium
CUST011,Amina Rahman,England,2022-01-25,Standard
CUST012,Kirsis Batistia,Canada,2022-09-11,Medium
CUST013,Roslan Taef,USA,2022-07-04,Standard
CUST014,Julio Romero,England,2022-07-20,Medium
CUST015,Sophie Roberts,Canada,2022-08-15,Standard
CUST016,Amina Rahman,England,2022-11-09,Standard
CUST017,Jeff Machkintosh,England,2023-05-26,Standard
CUST018,Amina Rahman,USA,2021-10-12,Medium
CUST019,Kirsis Batistia,Bangladesh,2022-01-15,Medium
CUST020,Di Liu,Canada,2022-12-20,High
CUST021,Amina Rahman,India,2022-10-13,Standard
CUST022,Robert Hernandez,Bangladesh,2021-06-17,Medium
CUST023,Julio Romero,Canada,2023-08-06,High
CUST024,Robert Hernandez,Bangladesh,2022-12-03,Medium
CUST025,Roslan Taef,Bangladesh,2023-04-22,Standard
CUST026,Kirsis Batistia,USA,2021-10-02,Standard
CUST027,Di Liu,India,2023-06-17,High
CUST028,Kirsis Batistia,Bangladesh,2022-11-03,Medium
CUST029,Julio Romero,USA,2021-05-27,Medium
CUST030,Kris Potter,Bangladesh,2023-02-02,High
CUST031,Robert Hernandez,Canada,2023-02-04,High
CUST032,Julio Romero,India,2022-02-13,Medium
CUST033,Di Liu,Bangladesh,2022-06-06,Medium
CUST034,Amina Rahman,England,2023-06-01,Standard
CUST035,Kris Potter,Bangladesh,2023-03-23,High
CUST036,Julio Romero,India,2021-03-07,Medium
CUST037,Julio Romero,India,2022-04-25,High
CUST038,Jeff Machkintosh,India,2023-06-01,Standard
CUST039,Amina Rahman,India,2023-02-08,Medium
CUST040,Kirsis Batistia,England,2021-10-28,Medium
CUST041,Kris Potter,USA,2021-01-04,High
CUST042,Jeff Machkintosh,India,2023-02-20,Standard
CUST043,Robert Hernandez,England,2023-06-11,High
CUST044,Jeff Machkintosh,India,2022-09-16,Standard
CUST045,Kris Potter,Canada,2023-02-20,Standard
CUST046,Robert Hernandez,India,2023-07-30,Standard
CUST047,Sophie Roberts,Canada,2022-05-16,Standard
CUST048,Amina Rahman,Canada,2023-06-19,Medium
CUST049,Di Liu,England,2021-09-04,High
CUST050,Amina Rahman,England,2023-01-20,Medium
CUST051,Amina Rahman,India,2023-02-24,Standard
CUST052,Kris Potter,USA,2023-08-28,High
CUST053,Kris Potter,Canada,2022-06-25,High
CUST054,Julio Romero,Bangladesh,2023-08-10,High
CUST055,Di Liu,Canada,2022-02-13,High
CUST056,Kirsis Batistia,USA,2023-07-11,High
CUST057,Lungi Ngidi,England,2021-09-11,Standard
CUST058,Amina Rahman,Canada,2021-01-22,High
CUST059,Robert Hernandez,Bangladesh,2022-08-26,Standard
CUST060,Roslan Taef,England,2022-12-26,High
